
2025-03-14 at 09:54:58 | INFO | Пользователь Kitty, запустил бота
2025-03-14 at 10:01:26 | INFO | Пользователь Kitty, запустил бота
2025-03-14 at 10:01:35 | INFO | phone_number='79253242280' first_name='Kitty' last_name=None user_id=1623512848 vcard=None
2025-03-14 at 11:45:35 | INFO | Пользователь Kitty, запустил бота
2025-03-14 at 11:45:45 | INFO | phone_number='79253242280' first_name='Kitty' last_name=None user_id=1623512848 vcard=None
2025-03-14 at 12:57:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 12:58:26 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 12:58:56 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 12:59:04 | INFO | Бот остановлен
2025-03-14 at 12:59:12 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 12:59:20 | INFO | Бот остановлен
2025-03-14 at 13:01:24 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 13:01:28 | INFO | Бот остановлен
2025-03-14 at 13:02:06 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 13:02:09 | INFO | Бот остановлен
2025-03-14 at 13:07:12 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-14 at 13:07:36 | INFO | Бот остановлен
2025-03-14 at 13:07:42 | INFO | Опублекован анекдот: Хомячки бывают разных размеров. Например, хомяк ростом с крупную собакуназывается почему-то барсуком.
2025-03-14 at 13:08:13 | INFO | Опублекован анекдот: - Меня ждут в палате лордов!- Тебя что, перевели из палаты наполеонов?
2025-03-14 at 13:08:28 | INFO | Бот остановлен
2025-03-14 at 13:08:41 | INFO | Опублекован анекдот: - Слышал, у Антона новая девушка?- Даже видел один раз. Сильно на любителя.- Любителя чего?- Крепких спиртных напитков.
2025-03-14 at 13:08:45 | INFO | Опублекован анекдот: Депутат выступает в зале и говорит - школьники начали ходить на несанкционированные митинги, за это нужно лишать родительских прав.Голос из зала - а если ваш пойдет?Мой не пойдет - ответил депутат - он учится в Лондоне.
2025-03-14 at 13:08:48 | INFO | Опублекован анекдот: - Слышал, у Антона новая девушка?- Даже видел один раз. Сильно на любителя.- Любителя чего?- Крепких спиртных напитков.
2025-03-14 at 13:08:51 | INFO | Опублекован анекдот: - А правда, что вороны долго живут?- Ну да, лет 300 где-то. Вон видишь, сидит один. Небось ещё Наполеону на треуголку срал..
2025-03-14 at 13:08:55 | INFO | Опублекован анекдот: Кто не курит и не пьет - по домам всех развезет.
2025-03-14 at 13:08:58 | INFO | Опублекован анекдот: Послематчевая пресс-конференция после игры Сербия-Россия 5:0Вопрос из зала:- Станислав Саламович, вам не кажется, что сборная России сегодня прилюдно занималась тем, чем Дзюба занимался приватно?- Нет, вы абсолютно не правы! Сегодня был полноценный половой акт!
2025-03-14 at 13:09:01 | INFO | Опублекован анекдот: Соседи пpодали дрель и, похоже, на выpученные деньги купили каpаоке...
2025-03-14 at 13:09:05 | INFO | Опублекован анекдот: Мама говорила Вовочке, что детей приносят аисты, папа говорил, что их находят в капусте, и лишь одна замочная скважина не скрывала от любознательного ребёнка правду.
